"Read Details","Details anzeigen",module,Magento_AdminNotification
"Mark as Read","Als gelesen markieren",module,Magento_AdminNotification
"Are you sure?","Sind Sie sicher?",module,Magento_AdminNotification
Remove,Entfernen,module,Magento_AdminNotification
"Messages Inbox",Posteingang,module,Magento_AdminNotification
"You have %1 new system messages","Sie haben %1 neue System-Nachrichten",module,Magento_AdminNotification
"You have %1 new system message","Sie haben %1 neue System-Nachricht",module,Magento_AdminNotification
"Incoming Message","Eingehende Nachricht",module,Magento_AdminNotification
close,schließen,module,Magento_AdminNotification
Notifications,Benachrichtigungen,module,Magento_AdminNotification
"The message has been marked as Read.","Die Nachricht wurde als gelesen markiert.",module,Magento_AdminNotification
"We couldn't mark the notification as Read because of an error.","Leider konnte die Nachricht aufgrund eines Fehlers nicht als gelesen markiert werden.",module,Magento_AdminNotification
"Please select messages.","Bitte Nachrichten auswählen.",module,Magento_AdminNotification
"A total of %1 record(s) have been marked as Read.","Insgesamt wurden %1 Einträge als gelesen markiert.",module,Magento_AdminNotification
"Total of %1 record(s) have been removed.","Insgesamt wurden %1 Einträge entfernt.",module,Magento_AdminNotification
"We couldn't remove the messages because of an error.","Wir konnten die Nachrichten aufgrund eines Fehlers nicht entfernen.",module,Magento_AdminNotification
"The message has been removed.","Die Nachricht wurde gelöscht.",module,Magento_AdminNotification
"1 Hour","1 Stunde",module,Magento_AdminNotification
"2 Hours","2 Stunden",module,Magento_AdminNotification
"6 Hours","6 Stunden",module,Magento_AdminNotification
"12 Hours","12 Stunden",module,Magento_AdminNotification
"24 Hours","24 Stunden",module,Magento_AdminNotification
critical,kritischen,module,Magento_AdminNotification
major,haupt,module,Magento_AdminNotification
minor,neben,module,Magento_AdminNotification
notice,notiz,module,Magento_AdminNotification
"Wrong message type","Falscher Message-Typ",module,Magento_AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Bitte öffnen Sie die <a href=""%1""> Cache-Verwaltung</a> und aktualisieren Sie diese.",module,Magento_AdminNotification
"Synchronization of media storages has been completed.","Synchronisierung der Media-Storages ist abgeschlossen.",module,Magento_AdminNotification
"Close popup","Popup schließen",module,Magento_AdminNotification
Close,Schließen,module,Magento_AdminNotification
"Critical System Messages","Kritische Systemmeldungen",module,Magento_AdminNotification
"Major System Messages","Wichtige Systemmeldungen",module,Magento_AdminNotification
"System messages",Systemmeldungen,module,Magento_AdminNotification
"You created the order.","Sie haben die Bestellung erstellt.",module,Magento_Authorizenet
"Order saving error: %1","Fehler beim Speichern der Bestellung: %1",module,Magento_Authorizenet
"Please choose a payment method.","Bitte wählen Sie eine Zahlungsmethode.",module,Magento_Authorizenet
